#;Grupo taxonômico;Ordem;Família;Espécie ou Subespécie;Nome avaliação anterior;Categoria em 2014;Sugestão de Categoria 2021;EW;CR;EN,;VU;RE;EX;Mesma Categoria de Ameaça 2014;Aumentou a Categoria de Ameaça;Reduziu a Categoria de Ameaça;Entrou em Categoria de Ameaça;Saiu da Categoria de Ameaça;Mantida a Categoria 2014  por não ter reavaliação ou validação
1;Invertebrados Marinhos;Actiniaria;Actiniidae;Condylactis gigantea;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
2;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus acaraje;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
3;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus asturius;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
4;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus caatingae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
5;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus eleonorae;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
6;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus ferreus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
7;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus potiguar;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
8;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus spelaeus;;;Vulnerável (VU);;;;X;;;;;;X;;
9;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus taboa;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
10;Invertebrados Terrestres;Amblypygi;Charinidae;Charinus troglobius;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
11;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus bahiensis;;;Vulnerável (VU);;;;X;;;;;;X;;
12;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus sanctus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
13;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus santanensis;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
14;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus spinilacertus;;;Em Perigo (EN);;;X;;;;;;;X;;
15;Invertebrados de Água Doce;Amphipoda;Artesiidae;Spelaeogammarus titan;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
16;Invertebrados de Água Doce ;Amphipoda;Artesiidae;Spelaeogammarus trajanoae;;;Em Perigo (EN);;;X;;;;;;;X;;
17;Invertebrados de Água Doce;Amphipoda;Bogidiellidae;Megagidiella azul;;;Vulnerável (VU);;;;X;;;;;;X;;
18;Invertebrados de Água Doce;Amphipoda;Dogielinotidae;Hyalella caeca;;Menos Preocupante (LC);Vulnerável (VU);;;;X;;;;;;X;;
19;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella epikarstica;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
20;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella formosa;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
21;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella imbya;;;Criticamente em Perigo (CR)(PEX);;X;;;;;;;;X;;
22;Invertebrados de Água Doce;Amphipoda;Hyalellidae;Hyalella veredae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
23;Invertebrados de Água Doce;Amphipoda;Mesogammaridae;Potiberaba porakuara;;;Vulnerável (VU);;;;X;;;;;;X;;
24;Invertebrados de Água Doce;Amphipoda;Sebidae;Seborgia potiguar;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
25;Invertebrados Marinhos;Anthoathecata;Milleporidae;Millepora laboreli;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
26;Invertebrados Marinhos;Apodida;Synaptidae;Synaptula secreta;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
27;Invertebrados Terrestres;Araneae;Caponiidae;Carajas paraua;;;Em Perigo (EN);;;X;;;;;;;X;;
28;Invertebrados Terrestres;Araneae;Caponiidae;Tisentnops onix;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
29;Invertebrados Terrestres;Araneae;Corinnidae;Ianduba paubrasil;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
30;Invertebrados Terrestres;Araneae;Ctenidae;Celaetycheus mungunza;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
31;Invertebrados Terrestres;Araneae;Ctenidae;Isoctenus corymbus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
32;Invertebrados Terrestres;Araneae;Dipluridae;Harmonicon cerberus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
33;Invertebrados Terrestres;Araneae;Drymusidae;Drymusa spelunca;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
34;Invertebrados Terrestres;Araneae;Gnaphosidae;Brasilomma enigmatica;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
35;Invertebrados Terrestres;Araneae;Gnaphosidae;Tricongius ybyguara;Lygromma ybyguara;Criticamente em Perigo (CR);Vulnerável (VU);;;;X;;;;;X;;;
36;Invertebrados Terrestres;Araneae;Ochyroceratidae;Ochyrocera ibitipoca;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
37;Invertebrados Terrestres;Araneae;Ochyroceratidae;Speocera eleonorae;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
38;Invertebrados Terrestres;Araneae;Pholcidae;Metagonia diamantina;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
39;Invertebrados Terrestres;Araneae;Pholcidae;Metagonia potiguar;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
40;Invertebrados Terrestres;Araneae;Salticidae;Matagaia chromatopus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
41;Invertebrados Terrestres;Araneae;Salticidae;Neonella noronha;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
42;Invertebrados Terrestres;Araneae;Segestriidae;Ariadna aurea;;;Vulnerável (VU);;;;X;;;;;;X;;
43;Invertebrados Terrestres;Araneae;Sicariidae;Loxosceles troglobia;;;Vulnerável (VU);;;;X;;;;;;X;;
44;Invertebrados Terrestres;Araneae;Theraphosidae;Dolichothele diamantinensis;Oligoxystre diamantinensis;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
45;Invertebrados Terrestres;Araneae;Theraphosidae;Pterinopelma sazimai;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
46;Invertebrados Terrestres;Araneae;Theraphosidae;Tmesiphantes hypogeus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
47;Invertebrados Terrestres;Araneae;Theraphosidae;Typhochlaena curumim;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
48;Invertebrados Terrestres;Araneae;Theraphosidae;Typhochlaena seladonia;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
49;Invertebrados Terrestres;Araneae;Theraphosidae;Ybyrapora diversipes;Avicularia diversipes;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
50;Invertebrados Terrestres;Araneae;Theraphosidae;Ybyrapora gamba;Avicularia gamba;Criticamente Em Perigo (CR);Criticamente Em Perigo (CR);;X;;;;;X;;;;;X
51;Invertebrados Terrestres;Blattodea;Blattellidae;Litoblatta camargoi;;;Em Perigo (EN);;;X;;;;;;;X;;
52;Invertebrados Terrestres;Caenogastropoda;Ampullariidae;Pomacea sordida;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
53;Invertebrados Terrestres;Caenogastropoda;Hydrobiidae;Potamolithus karsticus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
54;Invertebrados de Água Doce;Caenogastropoda;Hydrobiidae;Potamolithus troglobius;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
55;Invertebrados Marinhos;Camarodonta;Toxopneustidae;Lytechinus variegatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
56;Invertebrados Marinhos;Cassiduloida;Cassidulidae;Cassidulus mitis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
57;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium amazonicus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
58;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium bezerra;;Vulnerável (VU);Dados Insuficientes (DD);;;;;;;;;;;X;
59;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium caatinga;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
60;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium cessaima;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
61;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium formoso;;Vulnerável (VU);Criticamente em Perigo (CR);;X;;;;;;X;;;;
62;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium pains;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
63;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium ricardoi;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
64;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium spinifemur;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
65;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium tapiaguassu;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
66;Invertebrados Terrestres;Coleoptera;Carabidae;Coarazuphium tessai;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
67;Invertebrados Terrestres;Coleoptera;Carabidae;Schizogenius ocellatus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
68;Invertebrados Terrestres;Coleoptera;Cerambycidae;Hypocephalus armatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
69;Invertebrados Terrestres;Coleoptera;Ciidae;Ceracis cassumbensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
70;Invertebrados de Água Doce;Coleoptera;Dytiscidae;Copelatus cessaima;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
71;Invertebrados Terrestres;Coleoptera;Lampyridae;Amydetes bellorum;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
72;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus campoi;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
73;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus dulceae;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
74;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus godinhorum;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
75;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus koikei;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
76;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus rotundatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
77;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus ruficollis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
78;Invertebrados Terrestres;Coleoptera;Lucanidae;Altitatiayus trifurcatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
79;Invertebrados Terrestres;Coleoptera;Lycidae;Cartagonum apiuba;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
80;Invertebrados Terrestres;Coleoptera;Lycidae;Lycomorphon brasiliense;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
81;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Ateuchus squalidus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
82;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Canthon corpulentus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
83;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Canthon quadripunctatus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
84;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Dichotomius eucranioides;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
85;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Dichotomius mysticus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
86;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Dichotomius schiffleri;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
87;Invertebrados Terrestres;Coleoptera;Scarabaeidae;Pedaridium hirsutum;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
88;Invertebrados Terrestres;Coleoptera;Staphylinidae;Metopiellus painensis;;;Em Perigo (EN);;;X;;;;;;;X;;
89;Invertebrados Terrestres;Collembola;Arrhopalitidae;Arrhopalites amorimi;;Criticamente em Perigo (CR);Vulnerável (VU);;;;X;;;;;X;;;
90;Invertebrados Terrestres;Collembola;Arrhopalitidae;Arrhopalites glabrofasciatus;;;Em Perigo (EN);;;X;;;;;;;X;;
91;Invertebrados Terrestres;Collembola;Entomobryidae;Pseudosinella ambigua;;;Vulnerável (VU);;;;X;;;;;;X;;
92;Invertebrados Terrestres;Collembola;Entomobryidae;Pseudosinella guanhaensis;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
93;Invertebrados Terrestres;Collembola;Isotomidae;Archisotoma arariboia;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
94;Invertebrados Terrestres;Collembola;Paronellidae;Troglobius brasiliensis;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
95;Invertebrados Terrestres;Collembola;Paronellidae;Troglobius ferroicus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
96;Invertebrados Terrestres;Collembola;Paronellidae;Trogolaphysa aelleni;;Vulnerável (VU);Criticamente em Perigo (CR);;X;;;;;;X;;;;
97;Invertebrados Terrestres;Collembola;Paronellidae;Trogolaphysa hauseri;;Vulnerável (VU);Dados Insuficientes (DD);;;;;;;;;;;X;
98;Invertebrados Terrestres;Collembola;Sminthuridae;Pararrhopalites papaveroi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
99;Invertebrados Terrestres;Collembola;Sminthuridae;Pararrhopalites sideroicus;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
100;Invertebrados Terrestres;Collembola;Sminthuridae;Pararrhopalites ubiquum;;;Vulnerável (VU);;;;X;;;;;;X;;
101;Invertebrados Terrestres;Collembola;Sminthuridae;Pararrhopalites wallacei;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
102;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla brevipalma;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
103;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla camargoi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
104;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla cavernicola;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
105;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla charon;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
106;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla franca;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
107;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla grisella;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
108;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla inconspicua;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
109;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla inermis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
110;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla itacolomiensis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
111;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla lata;;Criticamente em Perigo (CR);Menos Preocupante (LC);;;;;;;;;;;X;
112;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla leachi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
113;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla leptochela;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
114;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla leptodactyla;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
115;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla ligulata;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
116;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla manuinflata;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
117;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla microphthalma;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
118;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla oblata;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
119;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla obstipa;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
120;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla perobae;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
121;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla plana;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
122;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla pomerana;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
123;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla renana;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
124;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla rossiana;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
125;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla spinipalma;;Vulnerável (VU);Dados Insuficientes (DD);;;;;;;;;;;X;
126;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla spinosa;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
127;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla strinatii;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
128;Invertebrados de Água Doce;Decapoda;Aeglidae;Aegla violacea;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
129;Invertebrados Marinhos;Decapoda;Gecarcinidae;Cardisoma guanhumi;;Criticamente em Perigo (CR);Vulnerável (VU);;;;X;;;;;X;;;
130;Invertebrados Marinhos;Decapoda;Gecarcinidae;Johngarthia lagostoma;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
131;Invertebrados Terrestres;Diplura;Campodeidae;Oncinocampa trajanoae;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
132;Invertebrados Marinhos;Enteropneusta;Spengelidae;Willeya loya;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
133;Invertebrados Terrestres;Entomobryomorpha;Entomobryidae;Seira arenicola;;Dados Insuficientes (DD);Em Perigo (EN);;;X;;;;;;;X;;
134;Invertebrados Terrestres;Entomobryomorpha;Entomobryidae;Seira mataraquensis;;Dados Insuficientes (DD);Em Perigo (EN);;;X;;;;;;;X;;
135;Invertebrados Terrestres;Entomobryomorpha;Entomobryidae;Seira musarum;;Menos Preocupante (LC);Vulnerável (VU);;;;X;;;;;;X;;
136;Invertebrados Terrestres;Entomobryomorpha;Entomobryidae;Seira pseudoannulata;;Dados Insuficientes (DD);Em Perigo (EN);;;X;;;;;;;X;;
137;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Archisotoma catiae;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
138;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Arlea arenicola;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
139;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Arlea psammophila;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
140;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Isotomiella uai;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
141;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Isotomodes cariocus;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
142;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Isotomurus riparius;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
143;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Paracerura gandarela;;Dados Insuficientes (DD);Vulnerável (VU);;;;X;;;;;;X;;
144;Invertebrados Terrestres;Entomobryomorpha;Isotomidae;Psammisotoma restingae;;Menos Preocupante (LC);Criticamente em Perigo (CR);;X;;;;;;;;X;;
145;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Adebrotus lugoi;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;
146;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Baetodes capixaba;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
147;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Baetodes iuaquita;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
148;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Camelobaetidius juparana;;Quase Ameaçada (NT);Vulnerável (VU);;;;X;;;;;;X;;
149;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Camelobaetidius maranhensis;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
150;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Camelobaetidius spinosus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
151;Invertebrados de Água Doce;Ephemeroptera;Baetidae;Camelobaetidius yacutinga;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
152;Invertebrados de Água Doce;Ephemeroptera;Leptophlebiidae;Hermanella amere;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
153;Invertebrados de Água Doce;Ephemeroptera;Leptophlebiidae;Hermanella mazama;;Em Perigo (EN);Menos Preocupante (LC);;;;;;;;;;;X;
154;Invertebrados de Água Doce;Ephemeroptera;Leptophlebiidae;Hermanella nigra;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
155;Invertebrados de Água Doce;Ephemeroptera;Leptophlebiidae;Simothraulopsis eurybasis;;;Vulnerável (VU);;;;X;;;;;;X;;
156;Invertebrados Marinhos;Eunicida;Eunicidae;Eunice sebastiani;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
157;Invertebrados Marinhos;Eunicida;Onuphidae;Diopatra cuprea;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
158;Invertebrados Terrestres;Euonychophora;Peripatidae;Epiperipatus adenocryptus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
159;Invertebrados Terrestres;Euonychophora;Peripatidae;Epiperipatus diadenoproctus;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
160;Invertebrados Terrestres;Euonychophora;Peripatidae;Epiperipatus ohausi;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
161;Invertebrados Terrestres;Euonychophora;Peripatidae;Epiperipatus paurognostus;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
162;Invertebrados Marinhos;Forcipulatida;Asteriidae;Coscinasterias tenuispina;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
163;Invertebrados Terrestres;Glomeridesmida;Glomerodesmidae;Glomeridesmus spelaeus;;Criticamente em Perigo (CR);Em Perigo (EN);;;X;;;;;;X;;;
164;Invertebrados Terrestres;Gymnomorpha;Veronicellidae;Phyllocaulis renschi;;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;X
165;Invertebrados Terrestres;Haplotaxida;Glossoscolecidae;Fimoscolex sporadochaetus;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
166;Invertebrados Terrestres;Hemiptera;Cixiidae;Ferricixius davidi;;;Criticamente em Perigo (CR);;X;;;;;;;;X;;
167;Invertebrados Terrestres;Hemiptera;Kinnaridae;Iuiuia caeca;;;Vulnerável (VU);;;;X;;;;;;X;;
168;Invertebrados Terrestres;Hemiptera;Kinnaridae;Kinnapotiguara troglobia;;;Vulnerável (VU);;;;X;;;;;;X;;
169;Invertebrados Terrestres;Hymenoptera;Andrenidae;Arhysosage cactorum;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
170;Invertebrados Terrestres;Hymenoptera;Apidae;Melipona capixaba;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
171;Invertebrados Terrestres;Hymenoptera;Apidae;Melipona rufiventris;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
172;Invertebrados Terrestres;Hymenoptera;Apidae;Melipona scutellaris;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
173;Invertebrados Terrestres;Hymenoptera;Apidae;Partamona littoralis;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
174;Invertebrados Terrestres;Hymenoptera;Formicidae;Anochetus oriens;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
175;Invertebrados Terrestres;Hymenoptera;Formicidae;Atta robusta;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
176;Invertebrados Terrestres;Hymenoptera;Formicidae;Brachymyrmex micromegas;;Em Perigo (EN);Vulnerável (VU);;;;X;;;;;X;;;
177;Invertebrados Terrestres;Hymenoptera;Formicidae;Diaphoromyrma sofiae;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;
178;Invertebrados Terrestres;Hymenoptera;Formicidae;Dinoponera lucida;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
179;Invertebrados Terrestres;Hymenoptera;Formicidae;Fulakora cleae;Stigmatomma cleae;Criticamente em Perigo (CR);Criticamente em Perigo (CR);;X;;;;;X;;;;;
180;Invertebrados Terrestres;Hymenoptera;Formicidae;Gnamptogenys wilsoni;;Em Perigo (EN);Em Perigo (EN);;;X;;;;X;;;;;X
181;Invertebrados Terrestres;Hymenoptera;Formicidae;Lachnomyrmex nordestinus;;Vulnerável (VU);Menos Preocupante (LC);;;;;;;;;;;X;
182;Invertebrados Terrestres;Hymenoptera;Formicidae;Monomorium delabiei;;Vulnerável (VU);Vulnerável (VU);;;;X;;;X;;;;;X
